,name,description,category
187,'Maiden Scotland ... from girders': Irn Bru absolutely ROCKS it after answering calls for music legends' special bru,Heavy rock legends Iron Maiden have become the biggest fans of their Scottish namesake drink after the makers of Irn Bru played a blinder in surprising the band. Scotland¡¯s other national drink might just end up the unofficial favourite soft drink of the ...,Entertainment
601,Where is Sean Mercer and his Croxteth Crew now?,"Those watching Little Boy Blue have been left heartbroken by scenes on the ITV docu-drama. The four-part series tells the story of the 11-year-old, who was gunned down by 16-year-old Sean Mercer on his way home from football practice in Croxteth, Liverpool ...",UK
11,"70% of customers affected by energy price cap, says SSE",Gas and electricity giant SSE has revealed that 70 per cent of its household customer accounts would come under the scope of the Conservative¡¯s energy price cap pledge as it warned against the ¡°unintended consequences¡± of the move. The ¡°big six ...,Business
743,The 40 Best Moments From the Injustice Comic Series,"1. The 40 Best Moments From the Injustice Comic Series 2. The 40 Best Moments From the Injustice Comic Series One of the more surprising successes from DC Comics¡¯ repertoire in the past couple of years has been Injustice: Gods Among Us, the weekly ...",World
367,Lib Dems would give public sector workers a pay rise,The Liberal Democrats say they would end years of pay restraint for public sector workers by lifting the 1% cap on pay and increase wages in line with inflation. Rochdale Liberal Democrat candidate Andy Kelly commented: ¡°Public sector workers in Rochdale ...,Politics
543,Irony of opponents who stand in Bradford City¡¯s way not lost on Mark Bower,"VICTORY at Wembley this weekend would see Bradford City go full circle against the club who waved them off in 2004. Richard Sutcliffe reports. MUCH HAS happened since Bradford City bid farewell to the second tier 13 years ago, ironically against Millwall ...",Sports
483,Strautmann targets small dairies with new self-propelled feeders,"Strautmann is to launch a range of self-propelled diet feeders on British shores. The company¡¯s UK importer, Opico, has been tasked with the job of convincing dairy farmers that running a self-propelled feeder is easier to justify than they might think.",ScienceAndTechnology
447,Discord hits 45 million users,"Two years after its inception, voice and text chat app Discord has announced that it has now reached 45m users. Mashable reports that concurrent users have hit a peak 4m, with daily active users standing at a massive 8.9m. As of July 2016 Discord had only ...",ScienceAndTechnology
717,Horrifying moment train leaves platform with man's finger still stuck in the doorway as he desperately runs alongside,"A commuter was left charging alongside a train after it left a platform with his finger still stuck in a doorway. In horrific footage, the terrified man is seen running alongside the train as it moves away, with his finger still stuck between the doors.",World
33,Liz McAreavey: What does being world-class actually mean?,"I¡¯ve been lucky enough to do some travelling in recent weeks and it¡¯s interesting to compare our culture with others ? the warm welcome and hospitality of the East, their work ethic and culture of enterprise, their generosity of spirit and friendship.",Business
524,Richard Dunne advises Ross Barkley to leave Everton this summer,Former Everton defender Richard Dunne has claimed that it might be best for both Ross Barkley and the club if the midfielder leaves this summer. Manager Ronald Koeman has mentioned a handful of times that Barkley will be sold at the end of the season if he ...,Sports
540,Not out of the woods yet,"There is still work to be done on the pitch before Crystal Palace retain their Premier League status and put the current season behind them, writes Andy Jacobs. Back-to-back defeats have added yet another twist to what has been a rollercoaster campaign ...",Sports
67,Manx Gas's price rise complies with regulatory agreement says OFT,"The Office of Fair Trading has commented on the price rise announced by Manx Gas this morning. The consumer watchdog says it is compliant with the regulatory agreement, which aims to provide both long-term security and ensure that profits are not excessive.",Business
627,Big increase in paramilitary-style shootings in N.Ireland,"Violent dissident republicans opposed to the peace process were responsible for 25 of the 28 attacks. Earlier this year a mother and father were shot in Belfast while attempting to protect their son from gunmen. The brutal attacks, in which victims are ...",UK
212,Happy birthday Bradley Lowery - well wishes flood in as brave lad turns six,"Loving wishes flooded in for a little boy battling cancer from those hoping to ¡°give him the most amazing birthday ever¡±. Bradley Lowery, who turns six today, captured the hearts of Merseysiders after he came to Goodison Park as a mascot for Sunderland ...",Health
534,"Newcastle United briefing: Tom Cairney and Aaron Mooy updates, club brings back red numbers",Newcastle United have already agreed a deal for winger Christian Atsu. And Rafa Benitez is keen to get more early business done ahead of the start of pre-season on July 3. But manager Slavisa Jokanovic says that doesn't necessarily mean a summer of ...,Sports
694,Family of slain officer frustrated as case dropped,"The family of murdered police officer Yvonne Fletcher have said they are ""deeply disappointed and frustrated"" a suspect will not be prosecuted after key evidence was withheld for national security reasons. The Libyan national, who is in his 50s, has been ...",World
356,Liberal Democrats¡¯ announce plans to give Norfolk children a brighter future as part of manifesto,"Under the Lib Dems the premium, which gives extra cash to nurseries, preschools and school receptions when they take on children from disadvantaged backgrounds, would triple the funding to ?1,000 per pupil per year - up from ?302 in 2015-16. This will ...",Politics
596,Mum found dead on her sofa had been battling to quit drugs as true horror of addiction revealed,"A mum-of-two who died of drug poisoning was found by her ex-partner lifeless on the sofa. Claire Stocks, 40, began taking drugs at the age of 18 but had spent the last two years of her life battling to overcome her heroin addiction. Miss Stocks was found ...",UK
